tempo,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,song
161.4990234375,0.39700258,0.14521508,3056.587897381012,2709.765901073987,6253.7692589320295,0.16440554499903176,-66.78069,64.2618,-9.776764,11.287591,-2.4191437,9.037897,-1.1133188,4.54984,-5.3051214,0.2445274,-9.495332,2.582338,-2.2036316,7.3982515,-2.5230403,0.48562786,-7.729595,-2.777132,-2.2285872,-0.60578,000002.mp3
99.38401442307692,0.42458433,0.14877364,2430.1888483271678,2617.8693258703756,5471.115615030452,0.10054364244972931,-106.024376,86.379105,13.008847,23.293478,-0.13009061,11.995469,-4.7083116,16.5522,-5.427786,-0.8825035,-1.0317153,8.08243,4.215745,6.530336,0.9724152,0.1917003,-3.4102998,-1.2815685,-0.9179791,0.6856623,000005.mp3
112.34714673913044,0.39768952,0.188172,2358.1292011631376,2065.0255745979744,4332.368716262829,0.1489473397560031,-16.811268,93.61205,-47.824642,31.577908,-3.762671,1.410515,-1.5081639,1.8848594,-4.5226245,-0.2471391,-8.496406,1.502116,-5.694397,1.9545957,-4.378735,-1.5836321,-2.5199113,2.3816586,-0.38851416,3.2400765,000010.mp3
107.666015625,0.29550898,0.069201976,1765.8778647991437,2509.613914559342,3918.6343215954203,0.04452512284566228,-278.15317,100.80628,37.054443,34.905197,26.752947,11.046148,10.796271,4.900579,1.3271269,6.3920817,-4.154795,-2.2210832,-6.230344,2.295227,-7.6948237,0.6682842,-4.666604,-1.304039,-5.8084574,-1.6890984,000140.mp3
103.359375,0.26257223,0.101314954,1666.7029226446425,2056.0623827476034,3338.5972144897364,0.06203100793958172,-208.30751,116.0464,-1.243543,25.51324,10.181234,-4.6592207,7.7454886,-5.5911283,0.43591148,1.7552578,-2.862807,-3.8659,-4.3673162,2.6990633,-1.6625303,4.6665306,0.26912704,2.6918666,-8.287061,-1.4948637,000141.mp3
117.45383522727273,0.33206522,0.47952604,1711.4343521299181,1887.7224980596263,3551.685856258472,0.08824236904531371,8.258978,126.05092,-27.990765,30.939363,12.6479,12.14672,-1.5545101,13.965467,-0.39874816,8.167109,0.15682414,6.457279,0.46039006,10.214653,6.677004,5.6699657,-0.5676922,7.7726645,8.852752,4.258811,000148.mp3
143.5546875,0.36936495,0.2750901,1877.022888505993,1750.462299552986,3949.2527370939674,0.10059386782192575,-26.026888,136.47931,-60.457947,43.260773,-37.12685,32.28419,-4.2562413,13.6646185,12.084982,7.2067018,12.299841,12.262443,3.3528275,11.37469,-2.701548,1.6524901,0.05153756,-2.0306776,-0.6285009,-1.7259074,000182.mp3
99.38401442307692,0.24494776,0.13292441,1907.459400780613,2031.347792895877,3729.5491158823957,0.08852354021655066,-139.52127,96.60173,-22.872536,25.558336,-7.4648438,-3.7838724,-21.77705,-7.035938,-19.873028,-6.061238,-16.010572,-5.297312,-8.174129,-6.643649,-7.648324,-9.228781,-8.705999,-2.4688172,-5.841622,-8.476314,000190.mp3
95.703125,0.33568335,0.08332119,1588.0792814697415,1761.6712869687838,3213.27597383932,0.0772376972792409,-198.01874,120.317375,-29.394861,35.394382,-10.064501,4.9301686,-13.594505,-5.610517,-16.011976,-8.161907,-11.371819,-5.3573174,-7.500236,-7.435898,-13.542115,-8.798376,-10.156552,-9.017192,-9.160036,-10.055929,000193.mp3
103.359375,0.3072719,0.096445404,1550.1674934048822,1767.9381381926153,3092.1213384570765,0.07292308645108275,-184.57397,118.748886,-26.507704,29.067913,-8.133896,3.6001925,-12.233664,-1.8389412,-16.64473,-5.9524946,-12.991282,-2.8298924,-8.4452095,-9.686761,-8.832266,-5.8647633,-9.67253,-7.012378,-7.962305,-7.1413593,000194.mp3
117.45383522727273,0.2737574,0.045621414,1144.785774310593,1369.4374215555915,2189.4814158113863,0.05414815913051898,-296.29062,126.969475,-11.064434,17.68693,-0.5898454,-4.7996473,-7.6959186,-6.3026156,-10.073537,-7.5063615,-7.795642,-7.6173387,-5.711172,-7.77107,-12.370875,-6.6063356,-7.4040427,-7.6018667,-5.109482,-3.7037203,000197.mp3
99.38401442307692,0.35538825,0.12094606,1924.480938488931,1935.4323114235106,3847.104390068261,0.09771827798218435,-122.239105,102.798645,-30.519062,40.598385,-10.096221,1.3887019,-12.195566,-3.1050856,-10.733684,-6.6995955,-16.562449,-8.268118,-7.1777644,-11.390204,-8.266891,-4.742048,-6.9708076,-8.235043,-12.831157,-9.338757,000200.mp3
